,Id_joueur,Strategy,Depth,Max_Score,History
59,2,Dumb,1,22.0,"[0, -0.0, 2.0, 2.0, 2.0, 6.0, 4.0, -0.0, -2.0, -0.0, -4.0, -10.0, -8.0, -0.0, -0.0, -0.0, -0.0, -6.0, -10.0, -8.0, -14.0, -12.0, -12.0, -10.0, -10.0, -10.0, -10.0, -2.0, 4.0, 2.0, 22.0]"
60,1,Exploration,5,-27.0,"[0, 3.0, 3.0, 3.0, 1.0, -1.0, 1.0, -1.0, -1.0, -3.0, 7.0, 9.0, 13.0, 13.0, 11.0, 15.0, 15.0, 19.0, 23.0, 23.0, 21.0, 19.0, 19.0, 21.0, 17.0, 7.0, -3.0, -5.0, -3.0, -7.0, -27.0]"
61,2,Dumb,1,40.0,"[0, -0.0, -0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 10.0, 8.0, -4.0, -4.0, -8.0, -6.0, -8.0, -12.0, -12.0, -14.0, -14.0, -18.0, -16.0, -10.0, -12.0, -14.0, -2.0, 10.0, 10.0, 10.0, 12.0, 34.0, 40.0]"
62,1,Exploration,5,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 5.0, 1.0, 7.0, 7.0, 13.0, 9.0, 5.0, 9.0, 7.0, 15.0, 17.0, 17.0, 13.0, 7.0, 9.0, 3.0, 5.0, 5.0, 13.0, 11.0, 11.0]"
63,2,Dumb,1,6.0,"[0, -0.0, -0.0, -0.0, 2.0, -0.0, -0.0, 4.0, 2.0, 2.0, 2.0, 4.0, -0.0, -2.0, -2.0, 4.0, -2.0, -4.0, -2.0, -12.0, -12.0, -8.0, -0.0, -4.0, 2.0, 4.0, 2.0, 2.0, -4.0, -8.0, 6.0]"
64,1,Exploration,5,19.0,"[0, 3.0, 3.0, 3.0, -1.0, -1.0, -1.0, -1.0, 3.0, 5.0, 5.0, 3.0, 7.0, 5.0, -1.0, 1.0, 1.0, 5.0, 5.0, 9.0, 13.0, 9.0, 9.0, 17.0, 25.0, 23.0, 23.0, 21.0, 23.0, 21.0, 19.0]"
65,2,Dumb,1,-14.0,"[0, -0.0, -0.0, 6.0, 8.0, 4.0, 4.0, 4.0, -0.0, -0.0, 2.0, -0.0, -2.0, 10.0, 6.0, 4.0, 6.0, -0.0, 2.0, -4.0, 4.0, -2.0, -6.0, -12.0, -16.0, -16.0, -12.0, -12.0, -12.0, -12.0, -14.0]"
66,1,Exploration,5,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 7.0, 5.0, 9.0, 13.0, 15.0, 11.0, 11.0, 15.0, 17.0, 19.0, 15.0, 11.0, 13.0, 17.0, 23.0, 19.0, 21.0, 11.0, 17.0, 13.0, 19.0, 11.0, 11.0]"
67,2,Dumb,1,-0.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, 4.0, -0.0, -0.0, -2.0, -6.0, -8.0, -8.0, -8.0, -8.0, -10.0, -10.0, -10.0, -2.0, -8.0, -4.0, -14.0, -16.0, -14.0, -6.0, -4.0, -2.0, -10.0, -6.0, -6.0, -0.0]"
68,1,Exploration,5,5.0,"[0, 3.0, 3.0, 1.0, 1.0, 1.0, -1.0, 3.0, 7.0, 5.0, 7.0, 9.0, 9.0, 11.0, 11.0, 11.0, 15.0, 17.0, 19.0, 19.0, 21.0, 21.0, 15.0, 5.0]"
69,2,Dumb,1,-2.0,"[0, -0.0, 2.0, 2.0, 4.0, 8.0, 6.0, -0.0, -2.0, -0.0, -0.0, -6.0, -2.0, -8.0, -8.0, -6.0, -10.0, -6.0, -16.0, -16.0, -12.0, -10.0, -2.0, -2.0]"
70,1,Exploration,5,-7.0,"[0, 3.0, 3.0, 1.0, -1.0, -3.0, -3.0, -1.0, 1.0, 3.0, 7.0, 7.0, 7.0, 11.0, 11.0, 7.0, 9.0, 13.0, 17.0, 13.0, 11.0, 9.0, 3.0, 11.0, 7.0, 1.0, -7.0, -3.0, -7.0, -3.0, -7.0]"
