,Id_joueur,Strategy,Max_Score,History
82,1,Dumb,35,"[4, 5, 5, 5, 8, 7, 8, 10, 11, 11, 12, 13, 13, 16, 17, 19, 16, 18, 21, 22, 24, 26, 30, 31, 35, 34, 33, 35, 35, 35]"
83,2,Dumb,32,"[3, 5, 7, 8, 9, 10, 13, 11, 14, 14, 17, 17, 18, 18, 18, 23, 23, 23, 24, 23, 23, 23, 21, 23, 22, 30, 28, 27, 33, 32]"
84,1,Dumb,42,"[4, 5, 6, 8, 10, 10, 11, 12, 14, 15, 16, 18, 18, 18, 18, 18, 20, 18, 16, 17, 18, 19, 25, 28, 27, 29, 29, 31, 33, 42]"
85,2,Dumb,31,"[3, 4, 6, 5, 6, 7, 10, 10, 9, 10, 11, 12, 14, 18, 18, 19, 22, 27, 27, 28, 31, 30, 27, 28, 28, 30, 34, 31, 31]"
86,1,Dumb,36,"[4, 6, 6, 6, 6, 7, 8, 8, 9, 9, 9, 11, 10, 13, 11, 10, 13, 13, 21, 25, 23, 24, 27, 28, 29, 29, 31, 32, 31, 36]"
87,2,Dumb,29,"[3, 4, 6, 8, 10, 10, 12, 13, 15, 19, 18, 22, 21, 23, 26, 27, 27, 28, 22, 23, 25, 26, 25, 25, 27, 28, 29, 31, 34, 29]"
88,1,Dumb,21,"[4, 5, 6, 9, 11, 12, 12, 14, 16, 16, 16, 16, 18, 19, 20, 21, 22, 24, 24, 26, 27, 24, 24, 25, 24, 24, 23, 25, 21]"
89,2,Dumb,48,"[3, 4, 5, 4, 4, 6, 7, 7, 8, 10, 12, 13, 13, 17, 16, 16, 17, 18, 19, 19, 24, 26, 27, 31, 35, 36, 36, 42, 48]"
90,1,Dumb,28,"[4, 5, 6, 7, 8, 9, 10, 11, 10, 11, 13, 14, 13, 14, 15, 17, 18, 19, 18, 16, 21, 24, 31, 31, 31, 29, 29, 29, 29, 28]"
91,2,Dumb,37,"[3, 4, 5, 6, 7, 8, 10, 12, 14, 14, 14, 17, 20, 19, 20, 23, 21, 25, 30, 29, 27, 26, 21, 23, 27, 29, 32, 36, 36, 37]"
92,1,Dumb,42,"[4, 5, 5, 6, 7, 9, 9, 8, 9, 9, 13, 13, 15, 18, 16, 20, 24, 24, 20, 25, 23, 27, 28, 33, 38, 41, 44, 44, 41, 42]"
93,2,Dumb,24,"[3, 5, 6, 7, 8, 9, 12, 14, 15, 16, 15, 16, 16, 19, 20, 17, 16, 22, 23, 23, 24, 24, 25, 20, 18, 16, 16, 21, 23, 24]"
94,1,Dumb,26,"[4, 5, 5, 6, 7, 8, 9, 9, 10, 11, 12, 11, 14, 16, 13, 12, 14, 20, 21, 26, 22, 25, 24, 29, 28, 28, 25, 26, 23, 26]"
95,2,Dumb,39,"[3, 5, 6, 7, 8, 11, 11, 12, 13, 14, 17, 19, 17, 21, 24, 25, 25, 21, 22, 24, 25, 26, 27, 26, 29, 34, 37, 40, 44, 39]"
96,1,Dumb,45,"[4, 5, 6, 7, 8, 11, 12, 13, 14, 13, 14, 16, 17, 18, 24, 26, 29, 27, 31, 31, 31, 31, 32, 33, 35, 42, 38, 40, 41, 45]"
97,2,Dumb,25,"[3, 4, 6, 6, 7, 7, 7, 8, 11, 13, 13, 13, 15, 15, 12, 12, 13, 14, 13, 16, 18, 18, 22, 20, 20, 20, 22, 21, 25]"
98,1,Dumb,37,"[4, 6, 7, 8, 9, 10, 10, 10, 11, 11, 13, 12, 13, 13, 13, 13, 15, 21, 21, 25, 24, 30, 33, 34, 36, 37, 39, 38, 32, 37]"
99,2,Dumb,30,"[3, 3, 4, 5, 6, 8, 10, 11, 14, 14, 17, 17, 19, 22, 23, 24, 24, 23, 22, 23, 23, 19, 19, 22, 20, 21, 22, 32, 32, 30]"
